refno,aquifer,wb_ft,rock_top_ft
234550,Bedrock,42,61
234555,Bedrock,43,60
234801,Bedrock,56,71
234897,Bedrock,35,56
234887,Bedrock,60,75
234781,Bedrock,58,78
234565,Bedrock,53,70
234575,Bedrock,62,82
234786,Bedrock,60,75
234570,Bedrock,60,80
234806,Bedrock,81,96
234796,Bedrock,59,
234892,Bedrock,73,
234791,Bedrock,72,90
234847,Bedrock,34,59
234595,Bedrock,95,102
234585,Bedrock,84,96
234842,Bedrock,35,80
234857,Bedrock,20,50
234792,Bedrock,22,30
234782,Bedrock,6,28
234207,Bedrock,50,60
233500,Bedrock,12,20
234328,Bedrock,12,22
232592,Bedrock,11,35
233489,Bedrock,20,47
217029,Bedrock,10,10
217039,Bedrock,25,17
217086,Bedrock,3,73
217019,Bedrock,4,0
216965,Bedrock,4,23
224765,Bedrock,20,45
225477,Bedrock,10,100
217002,Bedrock,31,
217045,Bedrock,18,124
216526,Bedrock,2,16
219028,Bedrock,11,13
216562,Bedrock,9,120
218984,Bedrock,21,
216444,Bedrock,35,
216465,Bedrock,29,28
216480,Bedrock,7,
216602,Bedrock,39,19
216522,Bedrock,7,5
219002,Bedrock,6,84
445182,Bedrock,4,14
218988,Bedrock,8,92
216861,Bedrock,50,10
27170,Bedrock,15,33
216415,Bedrock,5,5
218943,Bedrock,7,8
216656,Bedrock,6,
216485,Bedrock,38,17
218946,Bedrock,21,2
216440,Bedrock,38,8
216435,Bedrock,5,7
207121,Bedrock,19,7
216589,Bedrock,2,22
207569,Bedrock,11,10
424354,Bedrock,3,5
207595,Bedrock,25,8
207265,Bedrock,13,
207048,Bedrock,13,6
207108,Bedrock,4,6
207143,Bedrock,6,8
207234,Bedrock,5,
206579,Bedrock,18,
207096,Bedrock,7,58
207073,Bedrock,7,25
207536,Bedrock,29,6
207541,Bedrock,54,26
207068,Bedrock,29,19
207669,Bedrock,24,
207452,Bedrock,5,32
206495,Bedrock,3,7
207492,Bedrock,58,46
206585,Bedrock,56,12
206545,Bedrock,18,6
206509,Bedrock,9,5
206523,Bedrock,2,8
207005,Bedrock,31,53
434693,Bedrock,2,19
206555,Bedrock,3,6
206930,Bedrock,30,0
206534,Bedrock,21,8
206531,Bedrock,10,
206671,Bedrock,31,6
206976,Bedrock,4,
206637,Bedrock,53,7
206642,Bedrock,40,5
201289,Bedrock,28,
381996,Bedrock,60,17
204858,Bedrock,3,58
204689,Bedrock,80,48
204617,Bedrock,40,6
201481,Bedrock,2,40
206532,Bedrock,27,
201483,Bedrock,29,
204447,Bedrock,66,5
204489,Bedrock,30,8
204782,Bedrock,20,87
204576,Bedrock,26,11
201432,Bedrock,10,36
201231,Bedrock,13,30
204800,Bedrock,10,25
204549,Bedrock,67,60
201010,Bedrock,4,
204666,Bedrock,65,90
204533,Bedrock,73,62
204472,Bedrock,39,6
201457,Bedrock,5,51
204477,Bedrock,8,15
204458,Bedrock,18,6
204710,Bedrock,5,
195836,Bedrock,41,84
194917,Bedrock,8,12
195887,Bedrock,19,8
195947,Bedrock,29,6
195902,Bedrock,12,7
194890,Bedrock,15,10
193806,Bedrock,20,15
194885,Bedrock,10,17
194860,Bedrock,30,14
195841,Bedrock,43,10
195981,Bedrock,21,36
195876,Bedrock,7,26
195921,Bedrock,4,9
194861,Bedrock,15,145
193611,Bedrock,70,21
195911,Bedrock,35,23
193773,Bedrock,2,55
193699,Bedrock,5,10
195920,Bedrock,18,8
194867,Bedrock,59,18
195884,Bedrock,15,65
