word,token_count,distinct_formations
clay,791203,46299
sand,462462,57014
gray,319568,31240
gravel,198747,20093
grav,194590,28331
s,142863,12642
g,140622,11510
blue,135279,11185
br,96628,13927
shale,79622,11013
sandy,73542,9598
brown,72326,7368
yel,72064,5801
ls,71096,8120
grey,62300,7324
fine,59452,12160
brn,58187,7908
crs,56665,13113
med,56531,14224
soil,51435,2430
topsoil,49838,1168
top,45457,1753
hard,45216,10196
sh,44656,7120
water,44395,9809
w,44089,21908
fn,37783,9616
stone,36619,7425
and,35324,7050
red,34323,4285
yellow,34246,2831
soft,31894,8253
lime,29528,5976
limestone,29339,3303
hardpan,26620,2800
coarse,26066,4547
md,19307,6778
mud,18561,3369
dark,17418,3172
ss,16798,3440
gravely,16267,1262
to,15559,6597
blank,15467,67
coal,15248,2443
dry,14668,2855
rock,14628,3858
white,14248,3279
lt,13052,5177
fill,12828,1183
pan,12402,1222
sandrock,12202,1759
black,11579,2399
bl,10864,1173
medium,10579,1754
gritty,9997,767
dirt,9422,1065
dk,8825,2629
light,8776,2387
sandstone,8606,1840
broken,8594,2516
silty,8552,3665
muddy,8438,1921
some,8402,5336
silt,7725,3362
mixed,7712,2745
mix,7694,2402
dirty,7305,1690
of,7189,4790
slate,7018,1114
wh,6971,1917
vein,6646,616
blk,6565,1745
surface,6545,393
clean,6235,1174
green,5990,1996
stones,5935,1741
wet,5879,2298
drift,5200,580
sm,5096,2903
wb,5007,1898
very,4957,3010
rocks,4949,2051
muck,4726,885
tan,4458,1322
boulders,4449,1805
bearing,4255,885
course,4194,975
good,3946,727
with,3719,2081
small,3711,1932
gr,3545,2110
sticky,3524,769
hd,3060,1185
gravelly,3052,724
f,2993,1834
b,2905,1197
m,2689,1570
streaks,2578,1669
gry,2566,1322
c,2551,1474
siltstone,2504,972
soapstone,2463,383
till,2145,612
shaley,2125,812
little,2094,1477
trace,2081,1427
large,2003,1023
pea,1998,684
firm,1961,781
grn,1767,874
brkn,1757,519
wht,1711,679
fire,1671,219
shell,1623,394
cl,1501,880
loam,1481,515
strips,1437,827
rocky,1422,425
break,1417,643
gummy,1414,435
well,1408,422
in,1405,1073
packed,1387,581
fireclay,1385,268
boulder,1369,513
marrow,1316,103
grit,1284,276
snd,1281,978
vain,1253,73
gra,1231,550
heavy,1177,472
ex,1151,203
v,1121,996
marl,1115,283
quick,1080,251
trenton,1068,268
trc,1061,682
cobbles,1049,776
loose,1037,729
softer,1029,410
lg,1023,636
tr,1021,877
bs,1012,42
reddish,1007,505
stoney,981,180
no,960,645
glacial,950,137
cly,944,609
yell,930,252
strks,917,648
cemented,917,278
layers,904,754
orange,902,368
grvl,899,635
greenish,897,339
overburden,885,95
solid,882,283
set,873,244
mx,848,327
shells,838,379
sa,838,595
brownish,822,407
putty,819,206
casing,811,221
wood,805,604
moist,783,606
formation,772,290
p,772,184
