refno,aquifer,v1_wb_ft,v2_uncon_ft,v2_rock_top_ft
234782,Bedrock,6,,28
233500,Bedrock,12,,20
234328,Bedrock,12,,22
232592,Bedrock,11,,35
233489,Bedrock,20,,30
217029,Bedrock,10,,10
217039,Bedrock,25,,15
217086,Bedrock,3,,73
216965,Bedrock,4,,23
224765,Bedrock,20,,25
225477,Bedrock,10,,100
217045,Bedrock,18,,124
216526,Bedrock,2,,16
219028,Bedrock,11,,13
216562,Bedrock,9,,110
218984,Bedrock,21,,21
216465,Bedrock,29,,8
216480,Bedrock,7,,8
216602,Bedrock,39,,19
216522,Bedrock,7,,5
219002,Bedrock,6,,76
445182,Bedrock,4,,14
218988,Bedrock,8,,15
216861,Bedrock,50,,10
27170,Bedrock,15,,5
216415,Bedrock,5,,5
218943,Bedrock,7,,8
216656,Bedrock,6,,28
216485,Bedrock,38,,17
218946,Bedrock,21,,2
216440,Bedrock,38,,8
216435,Bedrock,5,,7
207121,Bedrock,19,,7
216589,Bedrock,2,,22
207569,Bedrock,11,,10
424354,Bedrock,3,,5
207595,Bedrock,25,,8
207048,Bedrock,13,,6
207108,Bedrock,4,,6
207143,Bedrock,6,,8
207234,Bedrock,5,,40
206579,Bedrock,18,,22
207096,Bedrock,7,,20
207073,Bedrock,7,,25
207536,Bedrock,29,,6
207541,Bedrock,54,,26
207068,Bedrock,29,,8
207452,Bedrock,5,,32
206495,Bedrock,3,,7
207492,Bedrock,58,,32
206585,Bedrock,56,,12
206545,Bedrock,18,,6
206509,Bedrock,9,,5
206523,Bedrock,2,,8
434693,Bedrock,2,,19
206555,Bedrock,3,,5
206534,Bedrock,21,,8
206671,Bedrock,31,,5
206976,Bedrock,4,,12
206637,Bedrock,53,,7
206642,Bedrock,40,,5
381996,Bedrock,60,,17
204858,Bedrock,3,,58
204689,Bedrock,80,,15
204617,Bedrock,40,,5
201481,Bedrock,2,,40
204447,Bedrock,66,,5
204489,Bedrock,30,,8
204782,Bedrock,20,,27
204576,Bedrock,26,,10
201231,Bedrock,13,,30
204800,Bedrock,10,,25
204549,Bedrock,67,,35
201010,Bedrock,4,,4
204666,Bedrock,65,,30
204533,Bedrock,73,,62
204472,Bedrock,39,,6
201457,Bedrock,5,,51
204477,Bedrock,8,,15
204458,Bedrock,18,,6
204710,Bedrock,5,,29
195836,Bedrock,41,,15
194917,Bedrock,8,,12
195887,Bedrock,19,,8
195947,Bedrock,29,,6
195902,Bedrock,12,,7
194890,Bedrock,15,,10
193806,Bedrock,20,,4
194885,Bedrock,10,,10
194860,Bedrock,30,,14
195841,Bedrock,43,,10
195981,Bedrock,21,,34
195876,Bedrock,7,,18
195921,Bedrock,4,,9
194861,Bedrock,15,,145
193611,Bedrock,70,,4
195911,Bedrock,35,,20
193773,Bedrock,2,,52
193699,Bedrock,5,,10
195920,Bedrock,18,,8
194867,Bedrock,59,,18
195884,Bedrock,15,,45
195804,Bedrock,44,,14
429858,Bedrock,1,,29
195824,Bedrock,60,,4
193797,Bedrock,7,,23
195778,Bedrock,26,,54
195835,Bedrock,4,,7
229166,Bedrock,30,,50
230410,Bedrock,2,,29
234753,Bedrock,48,,8
230269,Bedrock,10,,10
234721,Bedrock,46,,18
227988,Bedrock,10,,15
234719,Bedrock,35,,5
229056,Bedrock,18,,29
234449,Bedrock,5,,17
230397,Bedrock,12,,15
5556,Bedrock,55,,174
228706,Bedrock,2,,25
228084,Bedrock,4,,4
228061,Bedrock,5,,12
228799,Bedrock,42,,78
227997,Bedrock,30,,15
227992,Bedrock,5,,12
234688,Bedrock,43,,63
5456,Bedrock,55,,65
364291,Bedrock,10,,35
229253,Bedrock,44,,38
5348,Bedrock,10,,20
5345,Bedrock,26,,76
235309,Bedrock,3,,33
235302,Bedrock,20,,17
220552,Bedrock,16,,135
238894,Bedrock,62,,18
5368,Bedrock,1,,25
5601,Bedrock,55,,12
5392,Bedrock,7,,22
5423,Bedrock,25,,20
221431,Bedrock,4,,16
5431,Bedrock,10,,18
5307,Bedrock,45,,35
221309,Bedrock,10,,1
5412,Bedrock,15,,50
